Date Added,Risk ID,Risk Description,Project Stage,Project Category,Likelihood (1-10),Impact (1-10),"Risk Priority (low, med, high)",Risk Owner,Mitigating Action,Result
,41,Sourcing stone for remediation works,Pre Construction,Procurement,6.666666666666667,5.0,Med,Procurement Manager,"Quarry that stone exists from is closed. Impacts programme, and different stone requires further approval from Historic England and the planning authority",Investigate other quarries which supply the stone. Liaise with Historic England and the planning authority to have an alternative approved.
,42,Structural damage and the repairs required to the tower,Construction,Structural,6.666666666666667,6.666666666666667,Med,Structural Engineer,"Finding the right solution to undertake
the underpinning works","Bullivants / Arup design and Vinci
temporary works design to be reviewed in detail to mitigate any consequential delay. Building monitoring systems and locations to be agreed."
,48,Outstanding defects remaining unresolved,Construction,Commissioning,3.333333333333333,5.0,Low,Project Manager,"CYC left with legacy issues and building
defects which need resolving / impact
on tenant occupation / satisfaction.",Ability to resolve within the building contract. Use of retention
,50,Costs exceeds allocated budget (Non Construction costs),Pre Construction,Procurement,8.333333333333334,5.0,Med,Project Manager,"Particular risks surrounding consultant
fees, furniture / fit out works etc. ",Review non construction costs prior to contract award and during construction
,51,Incorrect estimation  design errors and ambiguities,Pre Construction,Design,5.0,5.0,Med,Design Manager,Construction cost overrun,Risk sits with CYC except CDP items
,56,Availability of specialist labour / equipment,Pre Construction,Procurement,5.0,5.0,Med,Project Manager,Change in specification / need to  appoint specialists / commission bespoke works ,Dialogue with main contractor & supply chain
,61,Poor co-ordination with design team interfaces (contractor design portions) ,Pre Construction,Design,3.333333333333333,5.0,Low,Design Manager,-,CDP requirements have reduced from initial intent - Regular meetings to be held with Vinci and Design Team to discuss CDP interfaces.
,62,Rights of Light,Pre Construction,Design,1.6666666666666667,6.666666666666667,Low,Project Manager,-,Title report does not identify any issues
,64,Poor contractor performance during construction,Construction,Construction,3.333333333333333,8.333333333333334,Med,Project Manager,-,Contract to be signed to protect client - performance bonds to be obtained.
,66,Unknown South Range structures,Pre Construction,Design,6.666666666666667,5.0,Med,Structural Engineer,Risk of discovering old basement causing issues with piling proposals,
,67,Insufficient design detail from specialist CDP packages,Pre Construction,Design,5.0,1.6666666666666667,Low,Design Manager,Impacts the sign off planning conditions  / listed building consents etc. In  particular pre-commencement  conditions ,Regular design reviews and interface management
,70,Satisfying EA requirements,Pre Construction,Design,1.6666666666666667,8.333333333333334,Low,Environment Lead,Incident occurring which stops the work  and action required to resolve the issue. EA Prohibition.,Waste management and compliance with the EA to ensure no environmental hazards
,72,Delay in design programme due to tenant/operator requirements,Pre Construction,Design,5.0,5.0,Med,Design Manager,"Operator changes impacting on cost /
programme",Recovery of cost / time included within the Agreements for Lease should late or significant changes be made
,73,Design changes (including client changes/ variations / EOT & loss & expense claims) and unforeseen items,Construction,Design,10.0,8.333333333333334,High,Project Manager,Construction cost overrun,Traditional contract — risk with CYC; secure adequate contingency
,75,Weather delays,Construction,Construction,8.333333333333334,5.0,Med,Project Manager,"Delay to programme - Wind, Temp, Rain",Contractor to provide impact and allowances via contract
,76,Underpinning/ crack repairs by third parties,Construction,Structural,3.333333333333333,8.333333333333334,Med,Structural Engineer,Cracks may appear elsewhere. Remediation costs,"Detailed dilapidations surveys, crack monitors"
,77,Ground conditions - Borehole survey depth insufficient,Pre Construction,Design,5.0,5.0,Med,Lead Engineer,Proposed piling designs impacted by this and require altering - Time & Cost impact,"Additional bore hole surveys indertaken, no foundatons / obstructions found albeit at relatively shallow depth. (near tower) Bullivants / Arup to review surveys and confirm they are happy with findings. Vinci to design piling to new structures and confirm site information held is adequate"
,80,Instability to boundary wall following demolition,Construction,Structural,5.0,3.333333333333333,Low,Structural Engineer,Structural works required (piers),Assessment of wall structure required - Scope of works to be determined
,81,Clashes between the existing building foundations and proposed drainage network. No information is available for the existing buildings therefore it has not been possible to co-ordinate the height of drainage to pass above/ under the existing foundation as required.,Pre Construction,Structural,5.0,3.333333333333333,Low,Lead Engineer,Co-ordination of drainage with foundations during construction. Cost impact.,Trial holes could be undertaken to better understand the existing foundations. Drainage has been designed conservatively to allow for a level of contingency in the design if foundations impact drainage runs.
,82,Potential drainage clash with proposed lift shaft pits,Construction,Design,1.6666666666666667,5.0,Low,Lead Engineer,Additional external drainage network,Trial hole dug in the location and appears to be clear - risk to be reviewed again once demoliton of north annex is complete.
,83,Billing omissions or inaccuracies in BoQ,Pre Construction,Procurement,6.666666666666667,8.333333333333334,High,Project Manager,Missing information within the BoQ resulting in time and cost increases,T&T have carried out reviews of the BoQ
,84,Additional works not covered by contract documents. Arising from opening up works / scope and extent of works greater than assumed etc.,Construction,Design,10.0,8.333333333333334,High,Project Manager,Cost & programme,Detailed change management process to be followed.
,85,"Ongoing movement in the south range, given the removal of underpinning from the scheme",Construction,Structural,3.333333333333333,6.666666666666667,Med,Structural Engineer,Underpinning works reinstated resulting in cost and time impact,Monitoring during works
,87,"Design change due to level of development and coordination at the point of tender, for items such as North Annex chimney, retaining walls and stairs, and movement joints to existing structures",Pre Construction,Design,3.333333333333333,3.333333333333333,Low,Design Manager,Impact on cost and programme - changes may delay construction activity / impact on sequencing resulting in EOT claims,Coordination to be managed by design team as a priority - Design changes to retaining concrete wall has been instructed by CYC and should be underway by design team.
,88,Council chamber cooling to be approved,Pre Construction,Design,3.333333333333333,5.0,Low,Design Manager,Revisit of design proposals - time and cost,Design team to coordinate with planning / conservation
