Risk ID,Risk Description,Project Stage,Project Category,Risk Owner,Likelihood No Action (1-5),Impact No Action (1-5),"Risk Priority No Action (low, med, high)",Mitigating Action,Likelihood Current (1-5),Impact Current (1-5),"Risk Priority Current (low, med, high)"
11,fraud and error committed against the council,Operations,Finance,Head Of Internal Audit,4,5,High,"Increase staff The Council vigilance National information Fraud awareness training for The Fraud Managers Partnership area, October Raise profile internally and Anti-Fraud externally for being successful prosecutions A fraud is currently The Council’s reviewed against 21)",3,3,Med
12,failure of external investment institutions,Operations,Finance,Investment Manager,4,5,High,Effective Treasury The Council’s Management regularly strategy. position. Robust auditing of The Treasury processes and considered policies. Updates half-yearly .,4,2,Med
13,failure of governance in major partners or in the council as a result of partnership working,Construction Operation,Governance,Governance Officer,5,4,High,The Annual Assurance that to Corporate governance models correctly followed Council and in the Council’s interests. Scrutiny annual to ensure Support Members in arrangements governance of control. partnership bodies. . Internal Audit partnership arrangements. Ensure that the Council’s interests are protected as Members of the Combined Authority and as Officers working on joint projects. Ensure all Partners have robust Business Continuity Plans in place GDPR compliance Robust ICT governance processes,3,3,Med
14,failure to achieve required savings targets,Operations,Finance,Chief Finance Officer,5,4,High,Robust control of Delivery corporate including Transformation Plan. Council’s financial Regular progress reports and Cabinet assurance to positive Members. Service transformation projects Commercialisation and Investment Strategy,3,3,Med
15,over run of major council projects in time or cost,Operations,Financial,Chief Executive Officer,5,4,High,Robust project Effective management. priority. Effective risk Major registers for projects. Cabinet Council,2,3,Med
16,service provision affected by organisational change,Operations,Governance,Project Manager,5,4,High,"Business continuity Plans plans for each service. Services Plans Culture of Council lessons remains effective Workforce planning, All services Plans which includes succession All organisational planning for key senior roles an talent management ensure considered A comprehensive programme of management health surveillance changes/programmes. for groups of employees who The Council work in certain programme service areas (e.g. suite processes, refuse drivers, to help workshop, port and wellbeing, staff, etc.) Trained Mental Health First Aiders in place Stress awareness training Resilience training Staff engagement and consultation processes",4,3,Med
17,political changes in national priorities,Operations,,Head Of Policy And Partnerships,4,5,High,"Understanding and The risks acting on result intelligence from process, LGA, CIPFA and as a risk other local government The recent sources. likelihood will continue Resources identified, approved and implemented without delay. Constant monitoring Horizon scanning via professional bodies Joint/collaborative working",4,3,Med
18,capital funding strategy failure,Operations,Finance,Head Of Finance,4,5,High,"Forward planning The Council’s and horizon regularly scanning. The current Regular high level borrowing monitoring of has been direction of travel and Financial mitigation required. Should capital Asset Management forecast, Plan. then the ensure Asset disposal strategy expenditure. Reviews available",3,3,Med
19,poor communications with stakeholders,Operations,Governance,Communications Officer,5,4,High,CSE Action Plan. The Council’s year by Staff survey. dedicated against Public consultations service on key issues. communication All change 3cs refresher project training communication stakeholders Team meetings “What’s Breaking” communication and “Horse’s Mouth” updates from the Chief Executive to all staff,3,3,Med
20,commercial uncertainties associated with decisions taken as part of the council s commercial and investment strategy,Operations,Finance,Corporate Management Team Lead,4,5,High,All governance The Council’s requirements have reviewed been put in place and will be robustly This new reviewed going any new forward put in,3,3,Med
