Date Added,Risk ID,Risk Description,Project Stage,Project Category,Risk Owner,Likelihood (1-10) (pre-mitigation),Impact (1-10) (pre-mitigation),Risk Priority (pre-mitigation),Mitigating Action,Likelihood (1-10) (post-mitigation),Impact (1-10) (post-mitigation),Risk Priority (post-mitigation)
21-Feb-17,22,Power and data cables failure,Construction,Deployment,Project Management,3.0,4.0,Low,"Utilize proven cable technology utilize secondary cable armor in high risk areas utilize redundant conductors for data and fiber optic, reduce inspections and associated wear and tear",2.0,4.0,Low
21-Feb-17,23,Mooring system failure,Construction Commissioning,Deployment,Lead Engineer,3.0,5.0,Low,"Design to DNV standards, utilize geophyisical knowledge and seek industry expertise to specify mooring system components, consider most favorable failure modes",2.0,5.0,Low
21-Feb-17,24,Driveline failure,Construction,Technology Development,Lead Engineer,4.0,4.0,Low,"Throught validation testing, desing system for increased operational tolerances and loads, choosed components with long service life and minimal maintenance and alignement requirements increase modularity for replacement",3.0,4.0,Low
21-Feb-17,25,Mechanical Brake Failure,Construction,Technology Development,Lead Engineer,4.0,4.0,Low,"Throught validation testing, redundant electrical brake, Rely on third party expertise for design",3.0,3.0,Low
24-Feb-17,26,Reciept of FERC Pilot license or permits are delayed and compromise deployment,Construction Commissioning,Regulatory,Environmental,4.0,5.0,Low,"Continue regular dialogue with regulatory agencies after final pilot license and other permit applications, respond to AIRs in timely manner",3.0,5.0,Low
24-Feb-17,27,"Component shipment to Igiugig is delayed due to schedule slip, transportation contractor issues, weather or other",Construction,Procurement,Project Management,3.0,4.0,Low,"Track project schedule, align component validation and delivery to port of shipment with shipper schedules, ship components early if possible arrival on first barge of season (June 2018) or second (Jluy 2018) at latest",2.0,4.0,Low
24-Feb-17,28,Device assembly difficult or requires modification in Igiugig,Construction,Technology Development,Lead Engineer,3.0,4.0,Low,"Device assembly is fdifficult or requires workaround in Igiugig due to component interfaces, component damage during shipment, or other.  Timing June-August 2018",2.0,4.0,Low
24-Feb-17,29,Power System deployment/comissioning encounters unexpected difficulties,Construction Commissioning,Execution,Project Management,3.0,5.0,Low,prior device testing and component testing in Nikiksi and elsewhere will reduce unexpected issues with deployment or comissioning. Thewe validation steps completed by May 2018,2.0,5.0,Low
24-Feb-17,30,"Ice accumlation on or interaction with device causes power disruption, reduction, or equipment damage",Construction Commissioning,Operations,Lead Engineer,4.0,5.0,Low,"Collection of in river ice data for 2 years prior to deployment feeds engineeering and IO&M planning, June 2017- June 2018.  ON device ice monitoring allows for operational state modification if adverse conditions or interactions occure",3.0,5.0,Low
24-Feb-17,31,"Salmon smolt data collection shows adverse reaction, or inadequate data collection does not provide regualtory agencies with adequate information to allow operation or testing during salmon smolt outmigration",Construction Commissioning,Environmental,Environmental,4.0,4.0,Low,"Develop rigorous fish monitroing pland in budget period 2.  Consulst with state and federal agencies reularly to ensure study plan and instrumentation  provides adeqaute infoarmaton for decision making, operate device only under continuoius montiroring during smolt outmigration",3.0,4.0,Low
24-Feb-17,32,Device removal complicated by technological or environmental factors,Construction Commissioning,Deployment,Project Management,3.0,5.0,Low,"Buoyancy system includes redundant and isoalted retrieval mechanisms, pre testing In Nikiski to reduce risk of retreival issues arrising",2.0,5.0,Low
24-Feb-17,33,"Higher cost for maintenance and logistical support required for final design and operations plan, including training and personnel requirements, external equipment and spares.",Construction Commissioning,Operations,Project Management,4.0,4.0,Low,Developing system requirements will be critical for determining technical scope for operations and maintenance technical support; involve local resources and include 3rd party input to accurately ascertain feasibility of proposed systems for logistical and technical requirements in remote environment. Develop trained leads during project who will be responsible for operating the systems after the project.,2.0,2.0,Low
