Budget Period,Revision Date,RBS Level 1,RBS Level 2,Risk Name,TRL,TPL,Technology Life Phase,Risk Owner,Baseline TYP,Baseline SEV,Baseline FRQ,Baseline RPN,Baseline Description,Response Strategy,Response Description,Response Timing,Residual SEV,Residual FRQ,Residual RPN,Residual Description,Secondary Risks,Recommendations & Action Items,Contingency Plan,Risk Owner Name
budget period 2,2017 02 21,commercial,3 3 suppliers and vendors,power and data cable procurement,7.0,7.0,multiple or all life phases,project management,t,3.0,4.0,12.0,fabrication delays and out of spec delivered product,mitigate,compile bom and ascertain component lead times from vendors in advance of po issue,before po issued,3.0,3.0,,unexepcted component shortage,,use cots components where possible,delay power and data cable validation tests,m worthington
budget period 2,2017 02 21,commercial,3 3 suppliers and vendors,mooring sytem procurement,7.0,7.0,multiple or all life phases,lead engineer,t,3.0,3.0,9.0,components are not available,avoid,compile bom and ascertain component lead times from vendors in advance of po issue,before po issued,3.0,1.0,3.0,unexepcted component shortage,,use cots components,delay moorins system validation tests,r tyler
budget period 2,2017 02 21,commercial,3 3 suppliers and vendors,dirveline procurement,7.0,7.0,multiple or all life phases,lead engineer,t,3.0,4.0,12.0,custom components require fabrication lead time,mitigate,frequent vendor communication issue po with room for schedule creep rapid change order resolution contractual penalties for schedule slip or incorrect product delivery,before po issued,3.0,2.0,6.0,unexpected fabrication delays,increased cost and effort,freqent vendor communications contract includes penalties for late delivery,delay full system validation tests,r tyler
budget period 2,2017 02 21,commercial,3 3 suppliers and vendors,mechanical brake procurement,7.0,7.0,multiple or all life phases,lead engineer,t,3.0,4.0,12.0,custom components require fabrication lead time,mitigate,frequent vendor communication issue po with room for schedule creep rapid change order resolution contractual penalties for schedule slip or incorrect product delivery,before po issued,3.0,2.0,6.0,unexpected fabrication delays,increased cost and effort,freqent vendor communications contract includes penalties for late delivery,delay mechanical brake validation tests,r tyler
budget period 2,2017 02 21,commercial,3 3 suppliers and vendors,mechanical brake procurement,7.0,7.0,multiple or all life phases,lead engineer,t,3.0,4.0,12.0,custom components require fabrication lead time,mitigate,frequent vendor communication issue po with room for schedule creep rapid change order resolution contractual penalties for schedule slip or incorrect product delivery,before po issued,3.0,2.0,6.0,unexpected fabrication delays,increased cost and effort,freqent vendor communications contract includes penalties for late delivery,delay mechanical brake validation tests,r tyler
budget period 2,2017 02 21,technical,1 5 technology,buoyancy system validation,7.0,7.0,multiple or all life phases,lead engineer,q,4.0,3.0,12.0,buoyancy system fails some or all of validation tests,avoid,utilizing incremetnal improvements to a proven concept add redundancy to design perform land based tests in may 2017 and move on to on water validation tests prior to shipment to igiugig,before assembly and commissioning,3.0,2.0,6.0,unexpected component failure after validation but prior to deployment,increased cost and effort,clearly scope validation tests to ensure tests rigoroulsy validatebuoyncy system,secondary redundant isolated recovery system also validated,r tyler
budget period 2,2017 02 21,technical,1 5 technology,structural assembly validation,7.0,7.0,multiple or all life phases,lead engineer,q,4.0,3.0,12.0,sturctural assembly fails some or all of validation tests,avoid,fea analysis of structure include load factors following dnv standards and considers extreme loading conditions such as uneven bottom and detalied cad models for subsystem interfaces vlaidation tests to ensure strucutral integrityu meets specs incorporate structural redundancy,before assembly and commissioning,3.0,2.0,6.0,unexpcted structural failure,additional desing work materials or strucutral damage during validation could increase cost to repair,complete thorough design and analysis desing to dnv standards incoproate redundant strucutre where possible,utilize local resources to effect repair and or structural improvements,r tyler
budget period 2,2017 02 21,technical,1 5 technology,turbine validation,7.0,7.0,multiple or all life phases,lead engineer,q,3.0,3.0,9.0,turbine assembly fails some or all of validation tests,avoid,utilize cfd as design tool for performance validation fea analysis of turbines include load factors following dnv standards and considers extreme loading conditions secondary design input from composite manufacturer,before assembly and commissioning,3.0,2.0,6.0,unexpected turbine failure,increased cost added structural elements could reduce turbine performance,thorough design and analysis utilizing third party expertise to confirm design,accept lower power output system removal inspection and turbine replacement if necessary,r tyler
budget period 2,2017 02 21,technical,1 5 technology,generator validation,7.0,7.0,multiple or all life phases,lead engineer,q,3.0,4.0,12.0,genertor fails some or all of validation tests,avoid,factory accpetance testing and laboratory testing of genertor integrated with power elecrtornics to ensure compatibility,before assembly and commissioning,3.0,2.0,6.0,unexpected generator failure,increased cost schedule slip possible,ensure adequate factory acceptance testing and laboratory validation before shipment ot igiugig,refurbish and reuse protptype generator while effecting generator repair,r tyler
budget period 2,2017 02 21,technical,1 5 technology,power electronics validation,7.0,7.0,multiple or all life phases,project management,q,3.0,4.0,12.0,power electronics fails validation,avoid,factory accpetance tests and sequenced laboratory testing to ensure power electronics meets requirements before shipment,before assembly and commissioning,3.0,3.0,9.0,unexpected power electonics failure or grid integrid issues,incresed cost schedule slip possible,adequate factory acceptance tests thorough laboratory validation prior to shipment,dissipate power through secondary load bank or brake rivgen device while resolving pe issues revert to grid following system if needed,m worthington
budget period 2,2017 02 21,technical,1 5 technology,scada validation,7.0,7.0,multiple or all life phases,lead engineer,q,3.0,4.0,12.0,scada system fails validation,avoid,factory accpetance tests and sequenced laboratory testing to ensure scada meets requirements before shipment,before assembly and commissioning,3.0,3.0,9.0,unexpected scada failure or communciations issues,increased cost,adequate bench tests through full length power and data cables laboratory validation prior to shipment,operate with simplified control system remove device and repair if on device scada compromised,r tyler
budget period 2,2017 02 21,technical,1 5 technology,power and data cable validation,7.0,7.0,multiple or all life phases,project management,q,4.0,3.0,12.0,power and data cables failure,avoid,utilize proven cable technology utilize secondary cable armor in high risk areas utilize redundant conductors for data and fiber optic reduce inspections and associated wear and tear,before assembly and commissioning,4.0,2.0,8.0,unexpected power and data cable failure,increased cost and operational complexity increased uncertainty of cable health with reduced inspections,ensure cable meets specs test full length cable with scada system to ensure data signal is adequate,replace power and data cable,m worthington
budget period 2,2017 02 21,technical,1 5 technology,mooring sytem validation,7.0,7.0,multiple or all life phases,lead engineer,q,5.0,3.0,15.0,mooring system failure,avoid,design to dnv standards utilize geophyisical knowledge and seek industry expertise to specify mooring system components consider most favorable failure modes,before assembly and commissioning,5.0,2.0,10.0,unexpected mooring system failure,increased size and operational complexity as a result of desing to high load and safety factors,utilize industry expertise to guide mooring system design,allow anchor slip as favorable failure mode replace drage anchors with gravity anchors if needed,r tyler
budget period 2,2017 02 21,technical,1 5 technology,dirveline validation,7.0,7.0,multiple or all life phases,lead engineer,q,4.0,4.0,16.0,driveline failure,avoid,throught validation testing desing system for increased operational tolerances and loads choosed components with long service life and minimal maintenance and alignement requirements increase modularity for replacement,before assembly and commissioning,4.0,3.0,12.0,unexpected direvline failure,incresed cost,complete thorough validation testing and incorpoate design mods as needed,validation tests in advance of system build leaving time to redesign and replace,r tyler
budget period 2,2017 02 21,technical,1 5 technology,mechanical brake,7.0,7.0,multiple or all life phases,lead engineer,q,4.0,4.0,16.0,mechanical brake failure,avoid,throught validation testing redundant electrical brake rely on third party expertise for design,before assembly and commissioning,3.0,3.0,9.0,unexpected mechanical brake failure,incresed cost and complexity,complete thorough validation testing including redudnant electrical brake,use electrical brake or remove system from current,r tyler
budget period 3,2017 02 24,external,4 6 regulatory,receipt of all permits and licesenses,,,multiple or all life phases,environmental,r,5.0,4.0,20.0,reciept of ferc pilot license or permits are delayed and compromise deployment,avoid,continue regular dialogue with regulatory agencies after final pilot license and other permit applications respond to airs in timely manner,december,5.0,3.0,15.0,uncertainity with regurlatory agency approvals in spite of regular communication and timely responses,increased cost and effort,manage personnel time and availablity accordingly,move forward under verdant exemption secure necessary state permits,n johnson
budget period 3,2017 02 24,management,2 1 project management,component delivery to igiugig,7.0,7.0,transportation,project management,t,4.0,3.0,12.0,component shipment to igiugig is delayed due to schedule slip transportation contractor issues weather or other,mitigate,track project schedule align component validation and delivery to port of shipment with shipper schedules ship components early if possible arrival on first barge of season june 2018 or second jluy 2018 at latest,before assembly and commissioning,4.0,2.0,8.0,unexcepcted or uncontrollabel circumstances lead to delays,increased cost and effort,track shipment continuously,delay deployment to 2019 if component delivery is delayed past july 2018,m worthington
budget period 3,2017 02 24,technical,1 6 technical interfaces,device assmebly,7.0,7.0,assembly and commissioning,lead engineer,t,4.0,3.0,12.0,device assembly difficult or requires modification in igiugig,mitigate,device assembly is fdifficult or requires workaround in igiugig due to component interfaces component damage during shipment or other timing june august 2018,june,4.0,2.0,8.0,preassembl as many components as possible prior to shipment to igiugig,increased cost and effort,include device assembly in validation with as many components as practical avoid unnecsary assembly steps prior to shipment to reduce cost and effort,perfrom redesign and modifcation work in igiugig as needed with local fabrication resources if assembly slips past august 2018 deploy system in june 2019,r tyler
budget period 3,2017 02 24,technical,1 7 system reliability,power system comissioning issues,7.0,7.0,assembly and commissioning,project management,q,5.0,3.0,15.0,power system deployment comissioning encounters unexpected difficulties,mitigate,prior device testing and component testing in nikiksi and elsewhere will reduce unexpected issues with deployment or comissioning thewe validation steps completed by may 2018,august,5.0,2.0,10.0,per shipment validation work in nikiksi with device and with other components in lab will recude likelihood of unexpcted issues,testing may cause damge to components increased cost and effort,test all components in configuration for igiugig deployment when practical and within budget,resolove issues with locally available resources if issue not resolved by the end of septmber 2018 remove device for modifcation repair and redeploy in june 2019,m worthington
budget period 3,2017 02 24,technical,1 7 system reliability,complications with winter ice,6.0,6.0,extreme events,lead engineer,q,5.0,4.0,20.0,ice accumlation on or interaction with device causes power disruption reduction or equipment damage,mitigate,collection of in river ice data for 2 years prior to deployment feeds engineeering and io m planning june 2017 june 2018 on device ice monitoring allows for operational state modification if adverse conditions or interactions occure,june,5.0,3.0,15.0,uncertiainty of ice interaction or in river formation leads to impact on device operations,increased cost and effort,perform thorough analysis of ice data from in river data collection perform thorough fmea of risks this type of ice formation or movement will have on device,remove divce from irver if possible or curtail or disccontinue device operations until ice event passes or equipment can be safely removed and repaired if damaged,r tyler
budget period 3,2017 02 24,external,4 4 environmental weather,adverse salmon smolt interactions,6.0,6.0,normal power production,environmental,e,4.0,4.0,16.0,salmon smolt data collection shows adverse reaction or inadequate data collection does not provide regualtory agencies with adequate information to allow operation or testing during salmon smolt outmigration,mitigate,develop rigorous fish monitroing pland in budget period 2 consulst with state and federal agencies reularly to ensure study plan and instrumentation provides adeqaute infoarmaton for decision making operate device only under continuoius montiroring during smolt outmigration,may,4.0,3.0,12.0,lack of established industry standard for smolt monitoring ore previous data on mhk device with salmon smolt means effort will be experimental in nature and any result or lack of is possible,incresed cost without eliminating or adequtely redugin risk,establish adaptive management plan with agencies in advance of deployment to allow real time data anlaysis and modifcaiton of device operational plan if adverse interactions occur,stop device operations during smolt outmigration remove device if necessary,n johnson
budget period 3,2017 02 24,technical,1 7 system reliability,device removal complications,7.0,7.0,decommissioning,project management,q,5.0,3.0,15.0,device removal complicated by technological or environmental factors,mitigate,buoyancy system includes redundant and isoalted retrieval mechanisms pre testing in nikiski to reduce risk of retreival issues arrising,may,5.0,2.0,10.0,redundant pretested systems reduce likleihood of retrieval issue,increased cost and effort increase system complexity,document results of pre testing in nikiksi visually inspect devid during deployment with attention to buoyancy system components,utilize locaaly available resources to develop contingency retrival operations,m worthington
budget period 3,2017 02 24,commercial,3 3 suppliers and vendors,higher cost for maintenance and logistical support required,7.0,6.0,normal power production,project management,c,4.0,4.0,16.0,higher cost for maintenance and logistical support required for final design and operations plan including training and personnel requirements external equipment and spares,mitigate,developing system requirements will be critical for determining technical scope for operations and maintenance technical support involve local resources and include 3rd party input to accurately ascertain feasibility of proposed systems for logistical and technical requirements in remote environment develop trained leads during project who will be responsible for operating the systems after the project,before assembly and commissioning,2.0,2.0,4.0,higher cost risk should be lessened,complex supply chain and remote area logistics may still impact cost estimates,structure contract to include incentives penalties and ffp where possible,follow contractual provisions for higher costs ensure lessons learned have path for improvement post process,m worthington
